,C,Mn,Si,P,S,Cr,Cu,Ni,V,Al,Ti,Mo,N,B,W,Nb,Sn,Co,Grain Size:,Austenitization Temp:,Austenitization Time:,Ms:,Mf:,Ac1:,Ac3:,Ferrite_1_Time,Pearlite_1_Time,Bainite_1_Time
30CrNiMo8,0.3,0.65,0.25,0.0125,0.0175,2.0,0.2,2.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,330.0,200,720.0,790.0,296.5054921330333,1314.287307451479,32.07296823640042
30WCrV15-1,0.3,0.4,0.95,0.0175,0.0175,1.05,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,,950.0,,390.0,,785.0,905.0,,7.7905167392224,2.3851189347805932
31CrMo12-5,0.3,0.63,0.29,0.01,0.016,2.99,0.13,0.17,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,,320.0,190,800.0,833.0,,424.58860815617487,29.66849487594198
31CrMo12,0.315,0.55,0.2,0.0125,0.0175,3.05,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,,360.0,,775.0,815.0,,372.75937203149397,97.54799084485819
31CrMoV9,0.31,0.55,0.2,0.0125,0.0175,2.5,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,,380.0,,785.0,840.0,,31.770119071799588,3.2871815277554957
32CrMo12,0.33,0.51,0.36,0.013,0.008,3.0,0.0,0.19,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,,920.0,1800.0,350.0,,765.0,800.0,,1246.650400394278,62.40404853543022
32CrMoV12-28,0.32,0.4,0.4,0.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,,1030.0,,350.0,190,780.0,875.0,,1227.2944974220204,61.243780967375756
32NiCrMo14-5,0.35,0.4,0.25,0.0,0.0,1.35,0.0,3.55,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,270.0,160,670.0,770.0,6691.189901715625,78821.42738856161,99.38376292824375
34 Cr 4 (SAE 5135),0.35,0.656,0.23,0.026,0.013,1.11,0.18,0.23,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,300.0,360.0,260,740.0,800.0,4.832262443800226,17.86468813082115,1.7631699875100755
34 CrMo 4 (SAE 4130),0.3,0.64,0.22,0.011,0.012,1.01,0.19,0.11,0.01,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,300.0,390.0,240,730.0,790.0,2.6737367418581015,122.4998602416242,1.2837326181815067
34Cr4,0.35,0.65,0.23,0.0,0.0,1.11,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,370.0,280,750.0,810.0,5.339743994440284,17.47860677720521,0.7829480918738427
34CrAlMo5-10,0.34,0.65,0.04,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,380.0,,765.0,850.0,52.216555412493605,192.7220944686442,35.091786582786426
34CrNiMo6,0.34,0.65,0.25,0.0125,0.0175,1.5,0.2,1.5,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,320.0,190,725.0,780.0,109.19410209689185,307.8958391175498,21.186406402954013
34CrS4,0.335,0.75,0.25,0.0125,0.03,1.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,350.0,250,735.0,790.0,3.1866098541975516,25.475643711213216,1.7365225451518242
35NiCr6,0.34,0.75,0.25,0.0125,0.01,0.95,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,320.0,,705.0,775.0,9.434098350782033,31.1894696019023,3.9737547975092666
36CrNiMo4,0.36,0.65,0.2,0.0175,0.0175,1.05,0.0,1.05,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,320.0,,730.0,780.0,39.51611071449842,277.68242098727706,6.897785379387657
37 MnSi 5,0.38,1.14,1.05,0.035,0.019,0.23,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,300.0,320.0,,720.0,790.0,2.9265591656684324,5.380943954798313,1.697064605869198
37Cr4,0.38,0.74,0.26,0.023,0.01,0.9,0.17,0.26,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,1800.0,320.0,,755.0,805.0,2.5401437792255335,22.086635025323876,1.3729408335669313
37CrS4,0.38,0.74,0.26,0.023,0.01,0.9,0.17,0.26,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,1800.0,320.0,,755.0,805.0,2.3548738930783584,21.588964188594478,1.4244224635882166
37MnSi5,0.37,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,,330.0,,735.0,830.0,1.9204402944883507,7.774782690734357,1.8501480305062983
38NiCrMoV7-3,0.4,0.61,0.3,0.005,0.007,0.78,0.0,1.81,0.09,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,600.0,300.0,,705.0,785.0,297.4433442178547,1867.5687391126316,43.21537618848911
4,0.305,2.14,0.98,0.011,0.016,0.21,0.191,0.19,0.0,0.0095,0.031,0.085,0.0055,0.0019,0.0,0.0,0.0,0.0,,950.0,300.0,,,715.0,840.0,,,33.09967949760558
40CrMnMo7,0.4,1.5,0.0,0.0,0.0,1.9,0.0,0.0,0.08,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,310.0,,745.0,790.0,151.4704336774398,176.1577032603789,48.8117738152716
